Bacterium;A. baumanii;K. pneumoniae;E. faecium;N. gonorrhoeae;Shigella;M. tuberculosis;P. mirabilis;CoNS;C. difficile;P. aeruginosa;S. pneumoniae;E. coli;S. aureus;;Penicillins;Aminoglycosides;Macrolides;Fluorquinolones;Carbapenems;Cephalosporins ;
A. baumanii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;58;41;0;0
K. pneumoniae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;11;11;23;0
E. faecium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N. gonorrhoeae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0
Shigella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
M. tuberculosis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P. mirabilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;28;0;2;0
CoNS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0
C. difficile;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P. aeruginosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;27;14;0;0
S. pneumoniae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0
E. coli;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;9;0;33;0;15;0
S. aureus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Penicillins;0;0;0;30;0;0;22;0;0;0;0;45;0;0;0;0;0;0;0;0;0
Aminoglycosides;46;8;0;0;0;0;0;0;0;15;0;9;0;0;0;0;0;0;0;0;0
Macrolides;0;0;0;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;0;0
Fluorquinolones;58;11;0;0;2;0;28;50;0;27;0;33;0;0;0;0;0;0;0;0;0
Carbapenems;41;11;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
Cephalosporins ;0;23;0;0;0;0;2;0;0;0;0;15;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;
;;;;;531;;;;;;;;;;;;;;;;
